input,language,elapsed time (seconds)
1.txt,c,0.00232
1.txt,c#,0.032158
1.txt,c++,0.002988
1.txt,go,0.150727
1.txt,haskell,0.002834
1.txt,java,0.074272
1.txt,javascript,0.364767
1.txt,python,0.041828
1.txt,rust,0.002439
1.txt,typescript,0.370058
10K.txt,c,0.03572
10K.txt,c#,0.098406
10K.txt,c++,0.051262
10K.txt,go,0.213583
10K.txt,haskell,0.16015
10K.txt,java,0.276004
10K.txt,javascript,0.493189
10K.txt,python,0.776445
10K.txt,rust,0.086109
10K.txt,typescript,0.477849
10.txt,c,0.001304
10.txt,c#,0.035201
10.txt,c++,0.003146
10.txt,go,0.161411
10.txt,haskell,0.003191
10.txt,java,0.090268
10.txt,javascript,0.369818
10.txt,python,0.037758
10.txt,rust,0.002621
10.txt,typescript,0.357404
1K.txt,c,0.004119
1K.txt,c#,0.034593
1K.txt,c++,0.008968
1K.txt,go,0.173401
1K.txt,haskell,0.026337
1K.txt,java,0.145652
1K.txt,javascript,0.396346
1K.txt,python,0.121874
1K.txt,rust,0.014545
1K.txt,typescript,0.391016
100K.txt,c,0.243259
100K.txt,c#,0.680719
100K.txt,c++,0.344156
100K.txt,go,0.591369
100K.txt,haskell,1.349694
100K.txt,java,0.675218
100K.txt,javascript,0.979957
100K.txt,python,7.271824
100K.txt,rust,0.772784
100K.txt,typescript,0.984022
1M.txt,c,2.183688
1M.txt,c#,6.433057
1M.txt,c++,3.3164759999999998
1M.txt,go,4.45061
1M.txt,haskell,13.438052
1M.txt,java,4.458804
1M.txt,javascript,5.860092
1M.txt,python,72.497577
1M.txt,rust,7.59663
1M.txt,typescript,5.932528
100.txt,c,0.002167
100.txt,c#,0.035879
100.txt,c++,0.00377
100.txt,go,0.163069
100.txt,haskell,0.007036
100.txt,java,0.116157
100.txt,javascript,0.377664
100.txt,python,0.052527
100.txt,rust,0.004188
100.txt,typescript,0.384204
